Roller Coaster,Amusement Park,Type,Design,Status,Opened
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
3 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2004
3 Ring Roller Coaster,Middle Zhejiang Amusement City,Steel,Sit Down,Operating,2014
4 Man Bob,Alton Towers,Steel,Sit Down,Relocated,1985
4 Man Bob,Trentham,Steel,Sit Down,Relocated,
4 Ring Roller Coaster,Daguan Park,Steel,Sit Down,Operating,2009
4 Ring Roller Coaster,Carde Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Sinma Kingdom,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Taolin Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Longshan Park,Steel,Sit Down,,2015
4 Ring Roller Coaster,Dragon Lake Beach Happy World,Steel,Sit Down,Operating,2014
4 Ring Roller Coaster,Yuqiao Park,Steel,Sit Down,Operating,2016
5 Velocita,Luna Park,Steel,Sit Down,Operating,2001
7 Picos,Parque de Atracciones de Madrid,Steel,Sit Down,,1969
88 Train,Children's Grand Park,Steel,Sit Down,,1984
88 Train,Amusement Land,Steel,Sit Down,,
Abandon Mine,Uncle Bernie's Theme Park,Steel,Sit Down,Operating,2002
Abismo,Parque de Atracciones de Madrid,Steel,Sit Down,Operating,2006
€uro-Coaster,Wiener Prater,Steel,Suspended,,2020
€uro Coaster,Funland Theme Park,Steel,Sit Down,Operating,2021
1066,Festyland,Steel,Sit Down,Operating,2005
10 Inversion Roller Coaster,Chimelong Paradise,Steel,Sit Down,Operating,2006
1970 Galaxy Rip Tide Coaster,Swampy Jack's Wongo Adventure,Steel,Sit Down,Relocated,2014
2 Way Coaster,Tokyo Dome City,Steel,Sit Down,,1968
3 Loops Coaster,Central Park,Steel,Sit Down,Operating,2018
